loan_amount,interest_rate,income,employment_years,credit_score,age,existing_debt,loan_term,default
27557,12.60075681119999,185458,25,534,20,15620,24,0
34763,12.952611172586803,129283,2,411,49,49346,36,1
33606,29.02898539275413,28562,39,688,56,9033,60,1
12534,27.292771630068646,75048,33,707,18,31070,12,1
30127,26.229475137542604,113295,4,353,28,46922,12,0
41397,15.150295042652765,32026,30,538,19,49104,36,1
26851,5.342463760222864,126147,12,594,22,12199,60,1
2016,7.005556161392851,51589,0,411,39,12776,12,1
25253,12.804909205440092,128199,21,387,63,22727,24,0
25276,5.393572824891924,117274,14,775,30,2931,36,0
24247,5.428744547879953,46844,25,603,65,14843,36,0
25300,27.915082541060276,174519,17,604,40,5699,48,1
9529,22.653962552976353,110415,8,589,64,21224,48,1
18262,12.723899751703817,74708,0,507,48,27321,48,0
10268,8.31611444002383,90825,8,669,52,7636,60,0
22271,17.79089294737693,71574,22,519,55,1860,36,1
13185,5.133654021359112,105548,1,530,58,14989,48,1
22243,28.4603435964536,169884,13,648,52,48005,36,0
40099,15.37037798472368,84230,37,554,62,37135,24,1
9571,15.058373880933319,192700,39,751,30,46422,48,1
40976,14.764840189544554,60581,17,441,24,34939,36,0
39044,6.733208259694119,197700,15,368,22,36062,60,0
49984,20.958055994795664,45105,28,388,46,13801,60,1
41774,23.325090490708835,99830,10,435,25,30398,60,1
3568,21.903134939707257,89157,5,822,25,4747,48,1
3027,8.460887333234858,183514,2,741,24,37160,60,0
3695,19.471004200889816,107235,13,337,36,5238,12,0
49190,19.237112104306348,22347,1,507,56,2834,24,0
6258,26.71026969853455,67650,31,509,40,48203,36,0
23002,14.478191459391175,168182,30,812,53,45676,12,1
40504,14.287148591485856,155995,10,659,59,26230,48,1
34159,20.46317646795464,144926,21,300,49,7116,36,1
14986,20.826816337487827,101147,2,680,62,2928,36,0
13666,16.73213068314476,68135,30,836,21,28179,60,1
39660,16.076484058260526,39199,32,693,47,22134,36,0
4561,17.35369176594707,160138,23,349,68,39262,36,1
27854,26.526132487582796,121583,0,695,59,34440,24,0
39952,16.52917253134775,112290,14,331,56,8190,48,0
23662,28.49829479924556,187647,36,844,22,23828,12,0
9392,17.60009408990815,140787,26,533,20,4350,60,0
31535,28.730017329522283,197805,37,325,39,34055,24,1
14067,25.820797546726894,134427,26,733,45,43686,12,0
49033,14.060783065395729,168063,11,360,39,16036,12,1
24599,26.5910355324154,173625,2,740,39,28700,24,0
36222,7.751582105027881,107493,29,429,51,6610,60,1
12837,28.126179383575362,151706,31,653,46,42018,48,1
15039,20.791087877072293,32771,22,497,60,29420,24,1
31818,6.35976871305778,145607,1,670,59,25177,24,0
20115,21.10641809127029,169370,6,446,30,27850,24,1
11965,29.356191353618904,99876,33,797,24,39651,60,0
25538,6.745016365365723,187071,31,347,27,11170,24,0
43530,18.867192744502155,79648,38,471,45,49282,24,1
6056,23.694858743984312,95783,31,614,21,40812,36,0
33482,25.256464667488284,64440,13,675,49,41070,36,0
48716,15.345686633019897,51655,2,832,39,27147,36,1
9110,10.104163979206074,63039,31,719,37,35502,36,0
14773,6.0585569693095955,75255,35,695,65,25406,24,1
28266,19.49315392743062,92219,16,821,37,1066,36,0
18412,16.32277675669027,31244,2,486,23,4970,12,0
34270,28.718609878742775,114594,9,332,26,49436,48,1
7910,6.515122692872745,78595,39,368,45,23350,36,1
46453,22.134883586150142,190623,17,490,30,29235,60,0
26446,5.6241555530014296,123898,2,400,48,40562,48,1
1206,9.285854417763568,48371,38,784,56,4114,12,0
22518,16.339474998070855,179950,9,584,67,28154,48,1
23361,16.371811070071708,187229,8,689,31,45602,48,0
24419,22.1425135733411,25914,10,459,39,49199,12,1
49702,27.755325871693916,47180,32,346,54,38906,36,1
42523,20.97580397287302,154760,35,458,62,28890,12,1
46151,28.83837744628772,100219,25,745,41,21245,60,0
23403,27.04039099694994,98616,26,822,25,43038,12,1
19141,19.612494888269758,160988,37,454,32,43266,24,1
15820,25.844798772970684,115213,21,638,68,24226,24,1
41342,21.06444025809085,178432,25,664,58,36183,48,0
7374,6.963945773093179,57805,21,447,23,12595,36,1
2678,23.514118081487748,164525,4,443,40,27718,36,1
34827,7.3727110316836555,146599,34,402,42,39218,24,1
17198,19.85206951424281,173775,1,392,48,25143,60,1
10914,22.566005146455723,94176,34,585,63,46178,12,1
28890,6.6631902052713805,114799,8,723,46,6164,12,0
23299,10.769866348163294,118385,17,418,40,32640,12,1
44585,27.891805806541246,108919,11,328,27,7787,60,1
44689,20.40786230582241,158482,2,810,26,15924,60,1
43557,11.15715047026329,101462,17,329,66,45286,12,0
45020,22.266994278700164,199340,37,665,30,20449,12,0
3693,19.91941049904224,185320,6,437,49,81,60,0
30467,17.53939249794871,51159,32,774,66,3005,12,0
30723,29.404674374702093,62039,5,691,68,8408,60,0
47699,22.086344435187723,67800,17,734,62,334,48,0
4627,14.386027741697816,60761,21,533,58,11103,24,0
26939,25.0018358019217,114626,38,354,18,41712,24,1
49925,27.114582323029694,138368,8,591,18,44721,60,0
43941,8.130513987920786,194735,34,611,54,25169,12,0
22834,10.013824446131661,100903,22,847,57,30494,24,0
19047,10.405675228194493,191484,11,388,35,43711,36,0
27105,22.28029523466351,138998,23,511,53,23452,12,0
11230,20.075988876332083,186439,39,617,48,26254,60,1
16707,20.474789117464702,156885,8,764,18,3897,36,0
22976,28.519332492237524,79894,12,386,64,4648,60,1
45262,24.39778832018265,71444,39,708,69,9674,12,0
24776,8.198423112794579,185341,16,539,53,17166,48,1
31080,13.687677060629525,81748,6,356,26,26710,48,1
2306,15.88484115439339,61190,16,412,39,19970,48,1
7776,14.899039718690123,60318,23,369,45,3794,12,0
28251,21.73271522904698,188090,1,483,43,29184,12,1
10474,27.297327581414063,144078,34,575,69,25559,36,1
41294,12.6512865880697,59759,27,532,27,15344,12,0
22959,18.79692841052964,36498,18,353,64,45642,12,0
6530,24.73523554783964,45989,32,556,20,38365,36,0
30320,15.405451471133734,176640,20,389,19,31217,36,1
4748,9.202953209982397,137035,9,734,54,39818,60,1
32968,16.873774131593706,86577,8,707,48,5051,24,0
33562,6.380563018575712,125231,37,568,50,17126,24,0
14545,28.55958635005692,181171,5,665,49,4544,60,1
1663,6.870530129874326,109900,34,650,60,12875,48,0
35766,15.961417881264454,191711,17,598,29,4355,12,0
8994,18.247031527213153,124679,18,458,20,19992,36,0
29021,29.63259580718214,43482,4,786,65,41053,36,1
31303,9.15054559107152,89212,24,825,43,46076,48,0
4304,7.860787965308964,50048,10,654,31,31074,36,0
47576,5.2176536765635895,154137,9,700,29,2516,48,0
40353,8.889285921732558,153108,16,704,69,22622,60,0
18675,10.181824476691691,55814,35,395,43,45923,48,0
45417,20.764523539577308,167996,25,691,33,49242,24,1
24938,10.49266975978501,149493,30,651,25,48171,48,1
24664,5.51302036823313,80204,31,587,66,1479,60,0
2636,25.665458637562217,52844,20,822,66,17338,48,1
21080,14.13989252509917,101943,17,461,45,27007,60,0
28728,13.842417164518348,41518,17,481,24,40982,24,1
27736,12.561975729198164,168131,0,848,32,45078,12,0
29673,29.384331928660522,43052,13,381,58,21836,60,1
38505,9.252885432732036,89803,7,823,53,29246,12,1
48323,27.45595159883088,91524,1,303,25,2547,60,1
47645,24.420083303497197,109572,14,794,27,37691,48,1
1854,6.911998887482827,159752,33,350,32,28130,12,1
25548,29.66822753752122,87021,35,560,35,49340,60,0
39623,11.784149088475264,40043,0,433,63,48975,60,1
8392,7.464573175560308,22419,20,661,54,459,12,0
47717,25.732855853143985,141831,0,516,58,2236,60,1
22556,22.666888341942496,121799,31,367,62,20830,12,1
39559,20.43047014694752,168212,19,442,68,580,24,1
27309,8.899521592473329,194556,35,645,60,14439,36,1
22919,16.96240290639905,196282,38,493,61,4715,24,0
5931,24.513900672180345,77600,29,545,52,26107,12,1
33970,12.590598453596005,136467,6,613,19,25944,48,0
45215,12.792245712876037,98497,21,683,39,31764,48,0
13688,5.078522651203053,128611,9,576,32,43394,36,0
26342,9.356085041134488,157559,7,371,54,27567,12,0
38157,26.885140628045857,80692,26,428,56,38665,60,0
3327,16.043662290942677,82112,9,657,53,32425,24,0
41772,29.60586248086085,182182,13,824,22,41432,24,1
41545,14.892699089344815,36360,10,519,65,17242,36,0
1197,22.87966136950603,103038,5,305,32,43949,36,0
24509,12.047976072618228,23017,20,527,44,18824,36,0
35698,14.095241028523338,106261,32,316,33,11898,36,1
45542,9.768149689772367,86320,18,311,53,34480,36,0
16087,13.676559212484875,51127,38,798,55,49667,36,0
23671,18.68093801051608,154268,23,801,35,40123,60,0
26184,29.794322024481236,95088,17,369,52,43353,60,0
28848,21.60504282679464,192372,34,407,42,17759,24,1
43107,9.98114886020785,51921,36,500,39,23068,24,0
21666,6.124036039788779,24746,18,351,48,3669,36,0
45357,8.158912032862766,88535,23,848,54,14382,24,0
16708,19.063880031826184,85350,33,558,51,15436,36,1
27370,24.12900822041916,101131,21,781,40,18774,60,1
3811,28.510480182518673,42063,3,563,33,36030,48,0
48011,5.39557929992052,137116,9,602,23,4638,60,0
7546,18.069003539046747,108913,1,424,32,2866,12,0
35754,16.77168390557942,98946,7,569,35,9251,60,1
31206,21.4013755493926,197043,32,779,55,8948,12,1
42106,18.989471361633548,154670,37,431,30,22878,24,1
12411,22.175978764562014,30564,27,301,41,187,60,1
3911,21.452064618729757,69725,9,414,30,32270,48,1
2734,7.9252931214486555,106134,0,780,18,43341,60,0
19227,24.99294784046799,125940,33,300,65,20962,60,1
9680,8.08081439290812,82085,2,630,53,29911,60,1
20360,22.463265630228427,37862,8,690,66,19098,36,0
19343,15.403634191015168,30265,4,442,35,7408,60,0
6759,17.846268364414946,160777,9,627,65,16679,60,0
24078,27.582450359392762,82471,11,676,50,3533,48,0
36153,27.247093161837164,111080,17,389,55,4140,12,1
12111,25.44640764137574,75828,20,341,60,36810,12,0
38504,17.753709511408083,136884,20,334,23,26618,48,1
2802,23.40599525334583,128007,0,793,34,20654,24,0
9155,17.822426387970232,66104,2,423,21,30775,60,0
9120,26.740152061869438,60934,4,356,31,40501,24,1
40384,15.069395830822497,134420,24,755,47,14676,48,0
48025,29.25588361037192,26050,7,534,63,6005,24,1
48254,28.30806895572194,195024,16,691,37,5870,12,0
22918,23.540065486294637,28484,8,791,25,3904,36,0
21445,11.9853971044018,82648,31,642,19,48235,24,0
31306,8.29133971983146,79945,5,475,54,11973,36,1
17646,26.367586252329936,51323,39,351,21,46976,24,0
47843,9.132557153449032,106332,20,849,27,2261,48,1
32065,26.356519724933392,114605,6,777,37,45813,36,0
26199,17.269125167809012,186433,6,788,52,17804,24,1
42976,15.163919595202605,30315,38,304,65,23077,48,1
17371,27.57976947086073,67968,26,508,27,47276,12,0
12835,20.096274563506945,177591,7,516,45,24680,60,0
46936,19.415350178242946,29107,8,835,32,16862,48,1
3049,18.969148615609942,75781,27,641,53,21902,48,1
32616,14.279237900488285,23869,14,700,18,39345,12,1
39191,24.641077588228182,100983,1,761,39,39553,36,0
48357,11.319961100394325,178442,6,510,44,8884,24,1
21932,28.472374001031877,27971,17,325,46,3038,36,1
30855,27.34963012617402,116805,21,551,32,32961,48,1
8158,13.437008141872454,45651,9,302,27,31562,24,1
44016,23.236594245791593,76974,32,301,37,26065,60,0
8400,19.330579861239787,43446,6,301,39,32084,60,0
43642,13.441232549980866,189180,2,449,67,49210,24,1
16151,29.713041199886167,23823,13,303,65,11801,48,0
2154,5.630933646206605,164526,35,796,26,20957,12,0
5499,11.316150765532166,155004,12,849,68,2580,36,0
7295,18.00185152777876,161292,15,767,49,26544,36,0
13183,18.048825086964097,87965,15,369,34,45647,12,1
30299,19.723326873639103,179280,4,500,59,45013,12,1
13874,23.79190430057298,30510,24,607,36,32454,60,1
33711,20.58694576298241,195117,37,551,57,46401,12,0
6539,20.007036513200923,161609,37,586,44,11277,24,1
43405,6.337861572826082,125935,37,591,68,40391,60,1
49354,14.413257194732457,89134,38,453,54,32988,48,1
3557,10.8013934925289,92254,25,432,51,875,60,0
39360,11.634252790049386,164854,12,573,64,11654,60,1
17482,18.85843685850862,134780,25,808,66,1196,36,0
3200,9.98763287324021,145544,0,652,27,49487,12,0
47940,12.348727525422438,85587,7,304,47,41184,24,1
3961,10.927117712933502,102238,3,592,38,23398,12,1
47975,28.71257358045487,95720,20,659,38,14370,36,1
22357,28.61664330427738,98004,21,513,51,28517,12,0
12969,20.248538964901293,42072,36,705,26,28859,24,1
3869,28.113061718297498,101015,2,735,51,1247,12,1
47760,24.64531613670933,92746,18,314,67,24564,36,1
29643,19.748697070045218,196774,0,572,29,46018,24,0
25736,5.160880287419893,122260,28,344,64,7111,12,0
39467,24.3129071519851,157129,22,711,38,20973,36,1
24328,22.562208539711722,148259,32,486,37,34654,36,0
26876,20.38134133206035,50916,22,469,23,310,60,0
22295,24.010607792061794,47268,4,700,67,10760,24,0
4987,17.823054119369143,195050,6,545,62,17988,24,0
23399,22.602081783033476,43259,5,342,53,22043,12,0
47214,28.379302168162333,99400,21,478,29,24944,60,1
34986,14.395125396152157,54293,12,756,58,36314,24,1
21880,22.703045872515634,131581,11,834,48,38119,36,0
5735,16.892195450273967,27043,3,543,19,24401,24,1
45064,21.859991295349538,127009,7,316,33,17381,60,0
5555,24.072333388859104,58893,36,411,18,33264,48,1
42914,6.136312510894899,191714,30,846,21,22069,36,1
41818,21.165011098716548,181940,36,329,64,42964,24,1
46525,10.668529610173614,46309,25,491,69,1198,36,0
20830,21.75081344518917,43284,7,736,18,43305,12,1
18429,16.70825464834534,146801,39,478,69,5910,36,1
7893,24.33881854662218,133259,32,773,64,5484,24,1
15373,8.08502038013991,120804,28,433,52,46165,12,1
48333,20.658058791404876,89000,4,611,30,576,12,0
4436,11.961768223188809,104179,27,324,67,32821,12,1
9754,26.324549883264787,85049,39,670,62,48757,48,0
11677,28.209587640907685,49265,16,824,59,44392,48,0
6895,29.909957341976387,43880,22,618,48,48603,12,1
20738,24.900185060682084,104579,8,529,37,32996,24,0
31746,23.843351760700113,151327,1,401,24,25354,12,1
49404,10.387518971688776,152574,31,749,57,48958,12,1
33352,13.400176474752719,85424,30,677,50,30229,36,0
40790,16.642063544056988,90966,6,502,45,12022,36,1
42919,24.334526194556243,192438,29,566,67,984,36,1
6600,27.874146626949216,178497,2,761,61,12660,60,1
30124,9.728477500574616,87396,8,664,67,25044,36,0
28643,28.05918711675257,91694,9,403,61,18851,36,1
41764,22.39061630885145,156878,25,410,37,42809,24,1
10007,20.269268267125966,37106,0,727,49,33299,48,1
46714,9.996031782048487,76731,29,768,26,13711,48,0
38410,6.388125820228764,95010,37,549,51,11227,48,1
45080,19.2116224626985,52599,14,781,31,8028,60,1
41447,21.28789208322231,91326,24,630,21,16945,12,1
9208,10.269536233867207,95706,5,500,46,32857,36,0
19589,18.911405145636408,29004,17,753,32,38503,24,1
44484,26.41233506906434,135018,0,803,34,25982,60,1
18453,25.8766486363755,45792,2,845,36,35913,48,0
37212,28.18387951465743,74645,16,410,55,1292,60,1
44525,14.147145238922011,27232,7,843,26,23880,24,0
48202,12.951239313772968,74766,39,508,44,32538,60,1
33635,23.735650149520218,140601,16,332,66,7559,48,1
34828,15.777810127425125,101588,24,406,32,36549,12,1
19711,7.188716600694516,199614,11,564,54,35159,48,0
4420,12.070028266762492,25913,28,525,45,21539,48,1
32216,15.464557138287228,132406,24,786,67,13204,48,1
1301,12.3129106369063,133693,35,478,21,2252,60,0
46236,13.305139273683041,113449,24,521,38,36659,24,0
1699,12.344397654359769,30567,28,669,51,9866,48,1
1190,6.0374791795769855,58379,10,466,36,49927,60,1
11492,20.927367520611064,20319,3,599,54,37997,24,1
36743,19.932310508836732,110005,13,680,21,24800,12,1
7102,21.334587461967015,130990,37,334,54,7553,48,1
20778,9.807747400840686,24791,16,706,68,32831,36,0
27641,12.391363540312131,151401,1,801,49,1787,60,1
35584,20.490398173623056,81032,7,613,62,44810,12,0
33745,19.990689211498037,195150,35,400,65,40837,12,1
24093,17.658257733856694,108662,9,514,29,11726,12,1
1569,13.760331250254936,41300,6,361,58,3915,60,1
39210,27.82327511936725,95700,35,668,33,47423,24,0
35663,13.494256057471095,75609,15,667,31,45412,36,0
37631,16.39047891093129,110045,13,393,18,92,24,0
46681,21.95284577385522,81901,15,768,69,10934,48,1
8455,18.575535771669102,25703,24,325,49,29995,36,0
5014,13.67214940910964,83115,3,734,38,32469,24,0
12093,15.891119761412746,47676,28,420,21,1677,48,0
19070,24.862020446337652,141332,5,349,26,28242,36,1
36777,11.953228887165311,196512,0,335,68,21892,60,0
17538,8.556380994420385,187995,38,709,63,22114,48,0
11729,12.829080045744426,49802,0,588,39,36632,24,1
35177,26.238355387197533,110331,39,678,29,27057,36,1
46017,7.224742871408667,144786,2,399,47,44916,48,1
1784,29.792401834311296,85169,0,623,47,44031,48,1
28751,18.525072473191564,88147,0,628,49,47881,60,1
41864,29.62114359917735,42075,38,520,53,37355,48,1
41328,28.47491055214944,102015,20,409,24,31532,36,1
13533,16.32034285527292,29304,29,448,34,10169,12,0
41111,9.962276865133727,149851,31,705,18,34566,36,1
40974,9.122119414128461,140729,32,709,31,46550,36,0
6801,10.999734096748938,79622,21,428,64,30740,60,1
20190,22.753316014113434,74215,29,783,61,46176,60,1
39754,11.823749868287196,93973,3,407,61,10030,48,1
30592,13.535631740107458,128654,22,688,55,10752,60,1
11647,16.21947009986537,163593,24,724,43,7051,48,0
9716,27.830817010536407,44028,11,746,44,42623,12,1
24355,9.734835447121153,59328,16,367,62,10589,24,0
23009,5.125663815245078,47301,14,365,33,11395,60,1
25376,6.502410259454254,58015,9,803,63,12833,60,0
46091,27.61915854200295,56845,34,803,24,598,12,1
5780,21.187911621084076,106818,28,620,49,14367,60,0
3368,11.82601548319517,96394,11,746,42,18428,12,1
13039,9.429812525279779,195231,0,509,48,16642,48,1
7655,12.356668415927858,63714,0,669,33,20955,60,0
41941,7.869923181282003,100722,9,757,58,40771,60,0
5495,28.538322757111025,45230,17,462,31,10097,48,1
11893,24.60515435913167,112554,1,631,42,13207,60,0
26547,16.55977942281352,69262,7,649,47,22560,36,1
23386,26.624065127880048,61722,21,767,24,23426,12,1
14403,11.236455107330807,197431,21,725,29,44592,24,0
33097,22.92801421180484,82796,25,626,20,797,36,0
14121,26.403312475343586,191231,25,405,44,43463,24,1
11966,13.919217790581815,107052,8,554,63,5713,36,1
34621,23.936611136267942,120808,20,657,36,40079,36,1
29312,12.376808731607735,156311,30,743,60,20404,36,1
23677,12.47142838147577,111951,5,412,54,5911,12,1
32289,7.676429463854651,70886,13,329,62,3954,24,0
32024,16.001451162734966,123424,32,823,59,42587,48,1
43675,23.242797662435557,178267,6,345,24,4312,48,0
5777,28.505520139282122,124697,23,470,66,30875,60,0
30749,20.094924798227403,116299,8,429,33,41748,12,0
16338,26.578388443393475,185746,10,652,49,18440,12,1
3491,25.562366232255677,169177,22,502,25,15828,12,0
28236,9.333576324382022,180811,1,525,66,30898,36,0
49096,17.145435722815787,183041,14,379,30,46720,12,1
15599,7.923088388134786,34497,34,609,28,39870,48,1
20508,22.053829039040874,152888,35,334,37,45428,12,0
4051,28.747491706151898,138915,27,460,35,15427,36,1
49747,8.427236451968913,112019,38,734,54,29641,24,1
22606,23.347078270063534,129017,3,837,23,22169,12,0
22699,20.805953771696522,89385,9,524,37,34215,24,1
1876,19.590125925202493,125153,5,745,49,49666,60,1
33093,14.753005867208481,53826,29,616,63,45419,36,1
5142,13.878291193845314,130034,34,713,61,47880,12,0
16202,6.131229725472196,104242,9,394,46,1951,60,0
40734,10.447717706300336,143066,31,524,21,21954,60,1
8079,5.379422057170673,70100,2,365,24,13827,24,0
8987,19.535427639550512,145170,25,696,60,8965,48,0
40567,7.646330896947721,155431,14,509,37,33096,48,1
29940,26.825484850742903,116205,16,773,51,8985,48,1
38233,18.07857551742913,32809,26,789,53,32641,48,0
18019,22.49224772646771,84450,17,479,24,22897,36,0
47185,15.271427296012412,58428,18,823,50,45652,12,0
19077,19.014495225026216,92790,11,758,32,5973,12,1
27258,28.566479424165763,131126,23,367,69,17794,36,0
22136,7.068350990591769,110321,4,628,49,7714,24,0
9311,11.348444298092403,22093,23,501,39,1137,12,0
18214,24.499708172763608,64498,26,774,57,37240,60,1
15098,7.468430172066647,136251,29,817,46,36042,12,0
29251,6.891527597602771,60985,14,314,42,3273,36,1
38945,14.038534968850964,52009,37,341,22,22627,24,0
48030,7.304198961810808,148515,33,842,31,32193,12,0
26945,19.62696105515508,37718,26,588,67,15151,36,0
26316,10.656881270414996,36705,19,832,52,10155,60,0
33217,27.39244907998431,107618,31,543,19,26741,48,0
9308,24.587502021131417,82598,3,473,42,22948,60,0
6949,22.492630152486903,97878,4,833,33,38130,60,1
2150,20.42360068461255,32239,7,808,63,4636,24,0
24944,26.586643258536583,66622,21,543,33,38114,12,1
35699,10.576551538568921,66665,6,359,28,31649,48,1
10204,26.827721069105692,52274,21,403,66,43706,36,1
2081,24.737307460601308,162491,29,602,52,36976,48,1
30305,23.704020659692137,128368,36,376,40,37236,12,0
17896,19.0313919518731,166075,15,317,22,2346,24,0
47175,11.156104024265002,181938,14,833,52,13984,12,0
8805,15.588697899797408,173060,4,483,46,1042,36,0
6237,24.83926636347004,128563,2,849,64,13063,48,0
21056,5.794462108933111,156746,22,580,22,20490,60,1
46543,24.551269231593956,113103,9,587,20,40967,12,1
46952,11.001768512189162,86446,4,824,23,36499,24,0
4343,8.607730018040076,49072,22,773,40,42533,24,0
14500,7.892532954507554,53717,14,566,63,7302,48,1
30375,5.681250298770378,177723,17,656,19,21876,60,0
10662,18.089662130536322,137202,24,300,35,49612,36,1
17964,10.456496817343236,195363,7,326,47,16294,60,0
48893,29.73579414449079,142389,30,847,55,2302,48,0
9130,19.360918896805146,129525,20,459,22,19017,60,1
20531,8.44713173390026,24646,1,698,63,42311,48,0
2679,22.219063520284134,59713,21,842,66,361,60,0
4506,27.443589162743134,87936,7,426,28,38261,12,0
14284,23.62948738424036,195403,22,509,18,17171,24,0
8253,6.910996525986191,42185,31,449,27,49360,48,0
20128,27.397104529816488,104263,7,330,58,41226,48,1
28932,24.84823464649912,72107,3,601,69,29327,24,1
10435,8.957597502640358,37563,29,556,61,5092,36,0
45078,6.294647218320422,90729,18,356,43,16937,48,0
14296,18.932764382857712,35701,22,308,50,40793,12,1
31445,8.900895283499423,199289,17,304,44,13817,60,0
14245,25.8647738148818,195682,28,413,67,9779,12,0
30124,13.958366416791844,148331,22,504,29,4516,48,0
30899,27.822311118414383,180482,32,323,19,39219,36,0
44919,19.142204303525144,119280,17,792,18,30114,48,1
44225,9.566809605991704,58665,32,705,18,14530,36,0
36247,8.489971683995002,35957,6,402,50,9310,24,1
30222,19.411810938943848,199199,27,359,39,34281,60,1
27211,24.047090296561098,66008,0,385,29,23809,12,1
38220,24.537641193554553,81920,38,671,56,46104,36,1
27646,11.893935111032032,183947,33,501,53,21735,12,1
39649,10.106168972804188,133828,38,388,38,44363,24,0
24049,5.41890761230956,143852,18,736,37,6749,48,0
15069,21.979978780029235,152698,30,419,53,27637,36,1
33580,6.914206460838475,110815,12,455,43,7005,60,1
32843,15.519030044148145,184714,23,698,64,29898,36,0
3849,20.042054100457403,58311,4,487,48,23538,48,1
41158,28.427723622991927,52356,22,351,18,37206,48,1
24289,12.795053423894217,23809,18,830,55,45648,60,1
45690,11.244304061162994,194443,0,779,31,21708,60,0
36257,21.35400385715246,54875,32,529,43,45024,24,0
10823,20.48097580133954,29465,32,780,63,42944,12,0
42975,13.302744582703115,93844,31,429,59,25467,36,1
10540,28.202545887744662,106889,27,354,24,49127,24,0
17364,26.12155818724082,35250,36,570,29,14412,12,1
5611,10.599563646627029,66023,11,399,41,29378,24,1
